Type of weapon,Caliber,Brand/Model,Permissibility in civilian circulation,ID Code,Full Name,Date of Birth,Residential Address,Weapon Registered Date,License Number,Affiliation,Prior Incidents,Notes on Modifications,Nationality,Gender,Occupation,Education Level,Marital Status
Adapter,223 Rem,Uronen-Precision-UR-15,Yes,48706302976,Niina Pärna,1987-06-30,"53200 Põdra Spring Suite 794, North Svetlana, WV 08734",2017-05-08,EE-GUN-530215,Narva Gun Enthusiasts,No,Scope added,Estonian,Female,Lawyer,Master's,Single
Adapter,.300 BLK,Uronen-Precision-UR-15,Yes,36307208624,Aleksandr Kozlov,1963-07-20,"006 Anna Forge Apt. 076, New Jüritown, CT 42436",1979-05-12,EE-GUN-423476,Tallinn Marksmen Club,No,Barrel shortened,Estonian,Male,Engineer,Bachelor's,Single
Adapter,22LR,CZ-75-Kadett-adapter,Yes,50202104669,Igor Vinogradov,2002-02-10,"8782 Pavel Plains Suite 130, East Peeterfort, DE 66374",2021-05-17,EE-GUN-968042,Tallinn Marksmen Club,No,Modified grip,Estonian,Male,Police Officer,PhD,Widowed
Adapter,22 Mag,Krieghoff-Extra,Yes,39705050570,Margus Allas,1997-05-05,"12059 Marika Village Suite 219, Tiinaberg, DE 43111",2020-02-06,EE-GUN-691150,Reserve Military,No,-,Estonian,Male,Teacher,High School,Married
Adapter,22 Mag,Krieghoff-Extra,Yes,46805054349,Sirje Õunapuu,1968-05-05,"815 Melnik Trail, South Rein, UT 07284",1982-05-04,EE-GUN-851632,Narva Gun Enthusiasts,None,Scope added,Estonian,Female,Engineer,Bachelor's,Single
Adapter,22LR,CMMG-Bravo-AR-15,Yes,50102163961,Marko Laks,2001-02-16,"392 Laura Ridge, Palushire, ID 49970",2024-10-01,EE-GUN-506533,None,No,Scope added,Estonian,Male,Police Officer,PhD,Single
Adapter,22 Mag,Krieghoff-Extra,Yes,36903227922,Marek Lepp,1969-03-22,"328 Randmaa Flats, Galinaview, WY 76792",2007-06-07,EE-GUN-948526,Tallinn Marksmen Club,Yes,-,Estonian,Male,Engineer,Master's,Single
Adapter,22 Mag,Krieghoff-Extra,Yes,39508114883,Martin Villemson,1995-08-11,"21561 Raivo Ramp Apt. 707, Ninastad, TN 09876",2031-10-02,EE-GUN-985145,Reserve Military,Yes,Barrel shortened,Estonian,Male,Retired,High School,Single
Adapter,22 Mag,Krieghoff-Extra,Yes,50309169298,Indrek Laane,2003-09-16,"91063 Natalia Roads, Kuuskton, AR 32438",2027-12-07,EE-GUN-415582,Narva Gun Enthusiasts,None,-,Estonian,Male,Lawyer,Master's,Single
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,46710262023,Tiina Mäe,1967-10-26,"Unit 2097 Box 6584, DPO AE 21226",1996-07-03,EE-GUN-932813,Narva Gun Enthusiasts,None,Modified grip,Estonian,Female,Retired,PhD,Divorced
Adapter,22 Hornet,Hubertus,Yes,49402086915,Sirje Saul,1994-02-08,"651 Laura Land, Lake Maksim, AK 66874",2018-12-27,EE-GUN-296968,Tallinn Marksmen Club,None,Scope added,Estonian,Female,Lawyer,PhD,Widowed
Adapter,223 Rem,Uronen-Precision-UR-15,Yes,48704299958,Merike Lill,1987-04-29,"8725 Belov Land, Lumistehaven, AR 47050",2021-08-04,EE-GUN-870274,Reserve Military,No,Modified grip,Estonian,Female,Engineer,High School,Married
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,38801118556,Marko Võsu,1988-01-11,"378 Kotkas Springs, Martinmouth, NE 78777",2018-04-23,EE-GUN-313987,Reserve Military,None,Scope added,Estonian,Male,Police Officer,Master's,Divorced
Adapter,222 Rem,Keller-Simmann,Yes,36104133699,Meelis Ernits,1961-04-13,"82639 Loorits Roads, Mihhailland, AZ 85394",1990-06-11,EE-GUN-671164,Reserve Military,None,Modified grip,Estonian,Male,Engineer,Bachelor's,Single
Adapter,22LR,CZ-75-Kadett-adapter,Yes,50008281607,Margus Suvi,2000-08-28,"26647 Maria Landing Suite 148, North Jekaterinahaven, MT 43579",2015-03-02,EE-GUN-117328,Tallinn Marksmen Club,No,Scope added,Estonian,Male,Lawyer,Master's,Married
Adapter,22 Hornet,Hubertus,Yes,49402065289,Anneli Poom,1994-02-06,"PSC 8665, Box 4561, APO AP 70401",2023-01-17,EE-GUN-551543,Reserve Military,None,-,Estonian,Female,Teacher,High School,Single
Adapter,22 Hornet,Hubertus,Yes,38408254672,Sergey Nikiforov,1984-08-25,"57983 Mölder Lake, East Maria, UT 14563",2015-03-06,EE-GUN-358616,Narva Gun Enthusiasts,No,Modified grip,Estonian,Male,Engineer,High School,Single
Adapter,22LR,Blaser-R-8,Yes,36404305769,Jevgeni Komarov,1964-04-30,"59413 Petrov Fall, Tõnissonland, FL 09684",1988-05-09,EE-GUN-870525,Reserve Military,None,-,Estonian,Male,Lawyer,PhD,Single
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,39511086605,Rein Kiisk,1995-11-08,"1215 Jaanus Passage, Aleksandrafurt, LA 57453",2031-07-28,EE-GUN-805688,None,Yes,-,Estonian,Male,Engineer,PhD,Single
Adapter,223 Rem,Uronen-Precision-UR-15,Yes,60207040663,Eve Adamson,2002-07-04,"37547 Reet Center, Viiraberg, NY 42332",2029-08-05,EE-GUN-144249,None,None,Scope added,Estonian,Female,Police Officer,Master's,Married
Adapter,22LR,CZ-75-Kadett-adapter,Yes,60208224589,Eve Martinson,2002-08-22,"270 Kuningas Plaza, Ojastebury, PA 09488",2020-10-25,EE-GUN-314209,Tallinn Marksmen Club,None,Barrel shortened,Estonian,Female,Retired,High School,Married
Adapter,22 Hornet,Hubertus,Yes,38304153363,Maksim Jakovlev,1983-04-15,"84819 Tamara Island, Sirelbury, AR 57874",2009-11-17,EE-GUN-183113,None,Yes,Barrel shortened,Estonian,Male,Teacher,High School,Widowed
Adapter,.300 BLK,Uronen-Precision-UR-15,Yes,36504262381,Mihkel Remmel,1965-04-26,"005 Mati Landing, Indrekborough, DE 11065",1999-03-16,EE-GUN-103374,Reserve Military,None,Barrel shortened,Estonian,Male,Teacher,Master's,Married
Adapter,222 Rem,Keller-Simmann,Yes,36901069062,Tiit Raud,1969-01-06,"79743 Toots Summit, Priitport, NH 21169",1995-04-27,EE-GUN-720864,Tallinn Marksmen Club,No,Modified grip,Estonian,Male,Engineer,Bachelor's,Widowed
Adapter,22LR,CZ-581/584,Yes,50412292219,Aleksander Lehtla,2004-12-29,"7827 Aasa Circles, Andrusshire, MN 98842",2032-12-02,EE-GUN-801584,Tallinn Marksmen Club,None,Modified grip,Estonian,Male,Police Officer,Bachelor's,Widowed
Adapter,22LR,CZ-581/584,Yes,37511045294,Martin Markus,1975-11-04,"20371 Ene Hollow Apt. 901, West Maria, WV 68278",2005-05-02,EE-GUN-442921,Tallinn Marksmen Club,No,Scope added,Estonian,Male,Lawyer,Bachelor's,Single
Adapter,22 Mag,Krieghoff-Extra,Yes,37807010213,Priit Tiits,1978-07-01,"45720 Aleksei Mission, West Nikolaifurt, CO 31324",2008-05-26,EE-GUN-704742,Narva Gun Enthusiasts,No,Scope added,Estonian,Male,Police Officer,PhD,Divorced
Adapter,22LR,CMMG-Bravo-AR-15,Yes,39605112016,Artur Žuravljov,1996-05-11,"8811 Erik Extensions Suite 026, Piirsaluburgh, AZ 08103",2028-03-27,EE-GUN-698741,Reserve Military,None,Scope added,Estonian,Male,Teacher,PhD,Single
Adapter,22 Mag,Krieghoff-Extra,Yes,47411189836,Marika Raud,1974-11-18,"461 Klein Mill Suite 857, Kangroside, WA 87722",2012-07-09,EE-GUN-143676,None,No,-,Estonian,Female,Lawyer,PhD,Married
Adapter,22 Hornet,Hubertus,Yes,48109298489,Eve Jalakas,1981-09-29,"800 Golubev Haven, New Irinastad, MS 95432",2015-03-09,EE-GUN-171013,Reserve Military,No,Barrel shortened,Estonian,Female,Police Officer,High School,Married
Adapter,22LR,CZ-581/584,Yes,49903235877,Aleksandra Rosenberg,1999-03-23,"25022 Valeri Keys Suite 169, Lake Tiitburgh, NH 44463",2015-08-23,EE-GUN-717951,Tallinn Marksmen Club,Yes,Scope added,Estonian,Female,Lawyer,High School,Married
Adapter,22LR,Blaser-R-8,Yes,50106270055,Aleksander Aun,2001-06-27,"6823 Nina Forge, Mallechester, CO 37430",2016-01-15,EE-GUN-326287,Tallinn Marksmen Club,Yes,-,Estonian,Male,Police Officer,Master's,Married
Adapter,22LR,CMMG-Bravo-AR-15,Yes,48401091946,Sirje Viks,1984-01-09,"097 Kazakov Circles, Port Ivan, NH 11416",2002-09-20,EE-GUN-193267,None,None,Barrel shortened,Estonian,Female,Retired,PhD,Widowed
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,48907310901,Malle Suits,1989-07-31,"32601 Kalm Bypass, Lutsport, MA 86829",2008-06-19,EE-GUN-587993,None,Yes,Modified grip,Estonian,Female,Police Officer,Master's,Married
Adapter,22 Mag,Krieghoff-Extra,Yes,50107288435,Aivar Ploom,2001-07-28,"8717 Sepp Glen, Port Ivan, WI 45597",2024-10-05,EE-GUN-922070,Reserve Military,No,Barrel shortened,Estonian,Male,Lawyer,High School,Married
Adapter,222 Rem,Keller-Simmann,Yes,49202282927,Kristiina Kuusik,1992-02-28,"3782 Indrek Key, Valentinastad, CA 36425",2022-05-18,EE-GUN-696551,Reserve Military,No,Scope added,Estonian,Female,Lawyer,PhD,Married
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,48804055884,Viktoria Krõlov,1988-04-05,"USNS Raudsepp, FPO AE 63966",2025-12-15,EE-GUN-973524,None,Yes,Scope added,Estonian,Female,Lawyer,Master's,Widowed
Adapter,222 Rem,Keller-Simmann,Yes,38105103251,Pavel Baranov,1981-05-10,"95162 Lukk Fork, Tamaraside, MA 54832",2002-01-30,EE-GUN-265986,Narva Gun Enthusiasts,Yes,Modified grip,Estonian,Male,Retired,Master's,Married
Adapter,.300 BLK,Uronen-Precision-UR-15,Yes,47511268562,Tiina Veski,1975-11-26,"63147 Ülle Landing, Alexanderburgh, SD 24750",1997-02-14,EE-GUN-931149,Reserve Military,None,-,Estonian,Female,Lawyer,PhD,Widowed
Adapter,22LR,CZ-581/584,Yes,47108247561,Tatiana Medvedev,1971-08-24,"6418 Martin Pine Apt. 439, Kirsberg, MN 66101",2001-08-28,EE-GUN-324382,Narva Gun Enthusiasts,Yes,Modified grip,Estonian,Female,Lawyer,Master's,Married
Adapter,22LR,CZ-581/584,Yes,48005270410,Maie Kelder,1980-05-27,"Unit 7554 Box 1122, DPO AA 57666",2010-08-11,EE-GUN-601611,Reserve Military,None,-,Estonian,Female,Retired,High School,Single
Adapter,22LR,Blaser-R-8,Yes,49101311531,Laura Tuul,1991-01-31,"Unit 3092 Box 2546, DPO AP 03921",2012-11-29,EE-GUN-405344,None,Yes,Modified grip,Estonian,Female,Lawyer,Bachelor's,Widowed
Adapter,22 Mag,Krieghoff-Extra,Yes,36701115638,Alexander Mark,1967-01-11,"79649 Elena Keys, Tarmochester, MT 11052",1993-06-12,EE-GUN-581129,Reserve Military,Yes,Barrel shortened,Estonian,Male,Teacher,High School,Divorced
Adapter,223 Wylde,Deserttech-MDRX,Yes,39712174872,Vello Kütt,1997-12-17,"548 Kikkas Landing Apt. 204, South Viktorhaven, AZ 53272",2030-07-20,EE-GUN-731625,Reserve Military,Yes,Scope added,Estonian,Male,Lawyer,Master's,Married
Adapter,22LR,Blaser-R-8,Yes,36712115756,Viktor Zujev,1967-12-11,"USS Aus, FPO AP 51987",2005-01-27,EE-GUN-948318,Tallinn Marksmen Club,No,-,Estonian,Male,Teacher,Bachelor's,Married
Adapter,22LR,CZ-75-Kadett-adapter,Yes,60203063441,Kadri Paap,2002-03-06,"156 Jüri Forge, Johansontown, WI 93633",2028-01-25,EE-GUN-279622,Narva Gun Enthusiasts,None,Modified grip,Estonian,Female,Lawyer,Master's,Married
Adapter,.300 BLK,Uronen-Precision-UR-15,Yes,47505058145,Anu Paju,1975-05-05,"465 Jürgens Summit, North Jaanuston, NJ 43891",1990-07-23,EE-GUN-463990,None,No,Scope added,Estonian,Female,Nurse,Master's,Divorced
Adapter,22 Mag,Krieghoff-Extra,Yes,37811012563,Sander Lääne,1978-11-01,"09372 Johanson Pass, Niinastad, OR 22857",2010-03-31,EE-GUN-269800,None,Yes,-,Estonian,Male,Nurse,PhD,Divorced
Adapter,223 Rem,Uronen-Precision-UR-15,Yes,36509291435,Alexander Pavlov,1965-09-29,"700 Kaljula Valley, Marekfurt, PA 22809",1994-01-13,EE-GUN-270448,Tallinn Marksmen Club,No,Modified grip,Estonian,Male,Police Officer,PhD,Single
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,47504035658,Eve Ploom,1975-04-03,"7570 Ülle Knoll, Port Viktoria, MD 86716",2014-12-06,EE-GUN-377643,Narva Gun Enthusiasts,None,Scope added,Estonian,Female,Police Officer,PhD,Widowed
Adapter,22LR,CZ-75-Kadett-adapter,Yes,60603245140,Anu Soon,2006-03-24,"Unit 8404 Box 2688, DPO AP 12084",2029-12-25,EE-GUN-821617,Tallinn Marksmen Club,None,Modified grip,Estonian,Female,Engineer,Bachelor's,Widowed
Adapter,22LR,CMMG-Bravo-AR-15,Yes,47410267426,Natalja Nikolaev,1974-10-26,"4053 Olga Valleys Apt. 457, Port Ljudmilastad, MA 11419",2006-09-07,EE-GUN-250055,Tallinn Marksmen Club,None,-,Estonian,Female,Retired,PhD,Single
Adapter,222 Rem,Keller-Simmann,Yes,47603162136,Merike Moor,1976-03-16,"716 Ants Light, Ivanstad, OH 75510",2003-05-19,EE-GUN-717628,Tallinn Marksmen Club,None,-,Estonian,Female,Lawyer,PhD,Married
Adapter,22LR,CMMG-Bravo-AR-15,Yes,47709105990,Katrin Sillaots,1977-09-10,"4767 Reet Drive Apt. 665, East Triinfurt, AZ 23432",1993-04-18,EE-GUN-976357,Narva Gun Enthusiasts,Yes,-,Estonian,Female,Teacher,PhD,Single
Adapter,222 Rem,Keller-Simmann,Yes,36502010325,Martin Põldma,1965-02-01,"8405 Merike Well, Svetlanafort, PA 38131",1984-01-05,EE-GUN-356446,Reserve Military,Yes,-,Estonian,Male,Retired,High School,Divorced
Adapter,223 Wylde,Deserttech-MDRX,Yes,36110240040,Aleksandr Kirillov,1961-10-24,"253 Svetlana Crossing, West Alekseiburgh, AR 47596",1976-11-12,EE-GUN-183294,Narva Gun Enthusiasts,None,Barrel shortened,Estonian,Male,Engineer,PhD,Divorced
Adapter,.300 BLK,Uronen-Precision-UR-15,Yes,50412189698,Roman Kazakov,2004-12-18,"6472 Tamara Turnpike Suite 164, South Kristiina, WA 14224",2020-08-12,EE-GUN-790756,Reserve Military,No,Scope added,Estonian,Male,Police Officer,High School,Divorced
Adapter,22LR,CZ-75-Kadett-adapter,Yes,49007178186,Marina Kotov,1990-07-17,"739 Suur Coves Suite 752, Lake Kadri, WA 19258",2004-09-25,EE-GUN-468162,Reserve Military,No,Scope added,Estonian,Female,Engineer,Bachelor's,Widowed
Adapter,22LR,Blaser-R-8,Yes,39904284842,Margus Nuut,1999-04-28,"48781 Laht Unions, New Kadri, TX 57892",2035-10-11,EE-GUN-903063,Narva Gun Enthusiasts,No,Modified grip,Estonian,Male,Nurse,PhD,Widowed
Adapter,22LR,Blaser-R-8,Yes,36110109502,Meelis Orav,1961-10-10,"506 Marko Square, Keskülamouth, NE 44360",1997-10-25,EE-GUN-154790,None,None,Scope added,Estonian,Male,Lawyer,Master's,Widowed
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,39911195317,Mihhail Kalinin,1999-11-19,"79183 Anna Prairie, Marguschester, MS 02861",2034-02-23,EE-GUN-307736,None,No,Scope added,Estonian,Male,Teacher,Bachelor's,Widowed
Adapter,223 Rem,Uronen-Precision-UR-15,Yes,38706205873,Andrus Jänes,1987-06-20,"08869 Tõnu Rue Suite 924, Lake Andreitown, IA 18578",2012-05-23,EE-GUN-691204,Reserve Military,None,Barrel shortened,Estonian,Male,Lawyer,Bachelor's,Single
Adapter,22LR,CZ-581/584,Yes,39010197890,Urmas Koit,1990-10-19,"71311 Natalia Manor Apt. 614, Lake Mihhailbury, MS 94970",2016-11-08,EE-GUN-273781,Narva Gun Enthusiasts,No,Modified grip,Estonian,Male,Engineer,High School,Divorced
Adapter,22 Mag,Krieghoff-Extra,Yes,48501021193,Malle Link,1985-01-02,"75828 Bogdanov Prairie Apt. 664, Käärikshire, MT 33256",2009-06-24,EE-GUN-695586,Narva Gun Enthusiasts,None,Barrel shortened,Estonian,Female,Nurse,High School,Single
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,49208309462,Aleksandra Tihhomirov,1992-08-30,"9136 Jalakas Light Apt. 533, Lauriborough, NH 74565",2021-02-17,EE-GUN-598123,Reserve Military,No,-,Estonian,Female,Nurse,Bachelor's,Married
Adapter,22 Mag,Krieghoff-Extra,Yes,36011189309,Jaanus Lehiste,1960-11-18,"5035 Anne Place Apt. 303, Lake Natalja, AL 10833",1992-11-30,EE-GUN-114022,None,None,Barrel shortened,Estonian,Male,Teacher,Master's,Single
Adapter,222 Rem,Keller-Simmann,Yes,60001272817,Maria Kilk,2000-01-27,"4945 Mets Overpass, Lake Siimview, UT 32293",2020-04-17,EE-GUN-831612,None,None,Barrel shortened,Estonian,Female,Police Officer,Master's,Divorced
Adapter,22LR,CZ-75-Kadett-adapter,Yes,47212097265,Reet Teras,1972-12-09,"647 Arro Courts Apt. 351, Lake Marikaland, WV 98043",2014-01-01,EE-GUN-992532,None,Yes,Barrel shortened,Estonian,Female,Police Officer,PhD,Divorced
Adapter,22LR,CZ-75-Kadett-adapter,Yes,36504293714,Toomas Kotov,1965-04-29,"6979 Romanov Square Apt. 183, Lake Kristjanberg, DC 57128",1991-12-05,EE-GUN-319539,Reserve Military,Yes,-,Estonian,Male,Police Officer,Bachelor's,Single
Adapter,222 Rem,Keller-Simmann,Yes,37606085390,Tarmo Ruus,1976-06-08,"Unit 1979 Box 3428, DPO AP 07730",1997-03-25,EE-GUN-941253,Reserve Military,Yes,Barrel shortened,Estonian,Male,Lawyer,Bachelor's,Married
Adapter,22LR,CMMG-Bravo-AR-15,Yes,48711072724,Maria Lõhmus,1987-11-07,"PSC 0021, Box 2948, APO AP 09464",2003-10-21,EE-GUN-686632,Narva Gun Enthusiasts,Yes,-,Estonian,Female,Police Officer,PhD,Widowed
Adapter,22LR,CMMG-Bravo-AR-15,Yes,38309053665,Aleksandr Kozlov,1983-09-05,"4004 Indrek Mount Suite 692, Lake Velloborough, ND 69829",2009-07-08,EE-GUN-110652,None,Yes,Scope added,Estonian,Male,Nurse,Master's,Married
Adapter,223 Rem,Uronen-Precision-UR-15,Yes,47803042449,Niina Kivilo,1978-03-04,"582 Mändla Rapid, Port Kristjan, CA 95576",2005-12-15,EE-GUN-336565,None,Yes,Barrel shortened,Estonian,Female,Teacher,Master's,Single
Adapter,222 Rem,Keller-Simmann,Yes,46708077537,Tiiu Eller,1967-08-07,"53744 Loorits Divide Apt. 008, West Galinaville, DE 29967",1984-02-12,EE-GUN-441572,None,None,-,Estonian,Female,Teacher,High School,Widowed
Adapter,22 Mag,Krieghoff-Extra,Yes,48601292503,Marika Piho,1986-01-29,"9155 Belov Valleys Suite 314, Reetmouth, SC 22944",2003-05-13,EE-GUN-380998,Narva Gun Enthusiasts,No,-,Estonian,Female,Retired,PhD,Widowed
Adapter,222 Rem,Keller-Simmann,Yes,46012254969,Mare Kirsipuu,1960-12-25,"273 Galina Inlet Apt. 912, East Tatiana, OH 85592",1975-08-14,EE-GUN-124998,Tallinn Marksmen Club,Yes,Scope added,Estonian,Female,Teacher,Master's,Single
Adapter,22LR,Blaser-R-8,Yes,46910295934,Aino Sarv,1969-10-29,"30294 Igor Heights Apt. 540, North Jaanus, MI 77197",2002-12-16,EE-GUN-678254,Tallinn Marksmen Club,No,Barrel shortened,Estonian,Female,Lawyer,Bachelor's,Single
Adapter,22LR,CMMG-Bravo-AR-15,Yes,38802260749,Tõnu Laine,1988-02-26,"391 Mare Isle Suite 856, South Indrek, AK 34795",2009-11-01,EE-GUN-443799,None,None,Scope added,Estonian,Male,Engineer,High School,Single
Adapter,22 Hornet,Hubertus,Yes,49403301794,Ljudmila Mihhailov,1994-03-30,"10800 Eve Canyon, Riinaport, OR 74745",2034-05-15,EE-GUN-893522,None,No,Scope added,Estonian,Female,Police Officer,PhD,Married
Adapter,223 Wylde,Deserttech-MDRX,Yes,39705166075,Vello Põder,1997-05-16,"Unit 5377 Box 6519, DPO AA 62479",2036-08-12,EE-GUN-766158,Narva Gun Enthusiasts,None,Scope added,Estonian,Male,Retired,PhD,Divorced
Adapter,223 Wylde,Deserttech-MDRX,Yes,37003113385,Indrek Luik,1970-03-11,"699 Marek Roads Suite 305, Port Aivar, KS 84432",1984-11-14,EE-GUN-653246,None,No,Modified grip,Estonian,Male,Lawyer,Master's,Widowed
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,60004217830,Maria Kasemets,2000-04-21,"643 Urmas Drive Apt. 483, Lake Alekseishire, IL 30666",2035-04-08,EE-GUN-374509,Narva Gun Enthusiasts,No,Modified grip,Estonian,Female,Nurse,Master's,Single
Adapter,222 Rem,Keller-Simmann,Yes,39807247382,Siim Raja,1998-07-24,"USNV Sisask, FPO AP 60750",2033-11-26,EE-GUN-237756,Narva Gun Enthusiasts,None,-,Estonian,Male,Police Officer,High School,Single
Adapter,222 Rem,Keller-Simmann,Yes,36907198317,Mihkel Salumets,1969-07-19,"612 Koort Square, East Riinaville, IL 27986",1999-01-24,EE-GUN-921641,Reserve Military,None,-,Estonian,Male,Teacher,PhD,Single
Adapter,222 Rem,Keller-Simmann,Yes,38006118800,Aleksander Põder,1980-06-11,"3797 Maasik Junction, West Dianaview, GA 99782",2021-06-17,EE-GUN-107412,Reserve Military,No,Barrel shortened,Estonian,Male,Teacher,High School,Widowed
Adapter,22LR,Blaser-R-8,Yes,50002254464,Rein Uibo,2000-02-25,"9172 Indrek Parks, Mäesalushire, GA 59683",2030-09-01,EE-GUN-205439,Narva Gun Enthusiasts,None,Scope added,Estonian,Male,Lawyer,High School,Married
Adapter,223 Rem,Uronen-Precision-UR-15,Yes,37406246712,Vladimir Beljajev,1974-06-24,"PSC 8447, Box 2370, APO AE 71499",2012-11-01,EE-GUN-187974,None,None,Modified grip,Estonian,Male,Engineer,High School,Widowed
Adapter,22LR,CZ-581/584,Yes,36102272300,Jaan Leht,1961-02-27,"888 Sild Course Apt. 121, Juliamouth, IA 67509",1992-01-15,EE-GUN-913963,None,Yes,Barrel shortened,Estonian,Male,Retired,Bachelor's,Widowed
Adapter,223 Wylde,Deserttech-MDRX,Yes,39001051679,Aleksei Karpov,1990-01-05,"3509 Kristi Row, South Kristibury, WI 46674",2013-03-19,EE-GUN-162900,Tallinn Marksmen Club,No,Scope added,Estonian,Male,Lawyer,High School,Married
Adapter,223 Wylde,Deserttech-MDRX,Yes,48408125828,Reet Tali,1984-08-12,"0014 Marko Springs Suite 254, Kristiland, SC 33159",2000-12-03,EE-GUN-844968,Reserve Military,Yes,Barrel shortened,Estonian,Female,Engineer,Master's,Widowed
Adapter,22LR,CZ-75-Kadett-adapter,Yes,38304169886,Sander Valk,1983-04-16,"748 Parts Corner, Jaantown, ME 66435",1998-04-22,EE-GUN-656473,Narva Gun Enthusiasts,None,Barrel shortened,Estonian,Male,Retired,PhD,Widowed
Adapter,22 Hornet,Hubertus,Yes,38504129932,Ants Schmidt,1985-04-12,"27166 Ljubov Parkways Apt. 281, Port Sanderton, ME 16346",2012-02-26,EE-GUN-642942,Narva Gun Enthusiasts,Yes,Barrel shortened,Estonian,Male,Retired,Master's,Single
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,60002275508,Diana Kiisk,2000-02-27,"9139 Andres Radial, East Kristiinaburgh, MN 78180",2024-12-26,EE-GUN-885383,Narva Gun Enthusiasts,None,Scope added,Estonian,Female,Teacher,PhD,Divorced
Adapter,222 Rem,Keller-Simmann,Yes,47506282919,Galina Romanov,1975-06-28,"88410 Kudrjavtsev Greens Suite 655, East Ljudmila, AR 24076",2005-03-14,EE-GUN-873196,Reserve Military,Yes,Scope added,Estonian,Female,Engineer,PhD,Divorced
Adapter,22LR,CMMG-Bravo-AR-15,Yes,36810312029,Jaanus Kink,1968-10-31,"41891 Vaino Vista, Käärikburgh, FL 40762",2004-09-17,EE-GUN-447462,None,No,Barrel shortened,Estonian,Male,Teacher,Master's,Divorced
Adapter,22 Mag,Krieghoff-Extra,Yes,39111163671,Aleksander Toom,1991-11-16,"0576 Marina Greens Suite 639, North Annemouth, NH 50955",2031-03-30,EE-GUN-322177,Reserve Military,None,Modified grip,Estonian,Male,Police Officer,Master's,Married
